Channel			  :,CH1
Frequency			  :,F=  ?
Period 			  :,T=  ?
PK-PK				  :,Vpp=4.640V
Average			  :,V=3.375V
Vertical pos		  :,0.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,80.00mV
Time interval		  :,40.00uS

index,CH1_Voltage(mV)
0,4560.00
1,4480.00
2,4560.00
3,4560.00
4,4560.00
5,4560.00
6,4560.00
7,4480.00
8,4480.00
9,4560.00
10,4480.00
11,4560.00
12,4560.00
13,4560.00
14,4480.00
15,4480.00
16,4560.00
17,4560.00
18,4480.00
19,4560.00
20,4560.00
21,4560.00
22,4480.00
23,4560.00
24,4560.00
25,4560.00
26,4560.00
27,4560.00
28,4480.00
29,4560.00
30,4560.00
31,4560.00
32,4560.00
33,4560.00
34,4560.00
35,4560.00
36,4560.00
37,4560.00
38,4560.00
39,4560.00
40,4560.00
41,4560.00
42,4560.00
43,4480.00
44,4560.00
45,4560.00
46,4560.00
47,4480.00
48,4560.00
49,4560.00
50,4560.00
51,4560.00
52,4560.00
53,4560.00
54,4560.00
55,4560.00
56,4560.00
57,4560.00
58,4480.00
59,4480.00
60,4560.00
61,4560.00
62,4560.00
63,4560.00
64,4560.00
65,4480.00
66,4480.00
67,4560.00
68,4560.00
69,4560.00
70,4560.00
71,4560.00
72,4560.00
73,4560.00
74,4560.00
75,4480.00
76,4480.00
77,4560.00
78,4560.00
79,4560.00
80,4560.00
81,4560.00
82,4560.00
83,4560.00
84,4560.00
85,4560.00
86,4560.00
87,4560.00
88,4560.00
89,4480.00
90,4480.00
91,4560.00
92,4480.00
93,4560.00
94,4480.00
95,4560.00
96,4560.00
97,4480.00
98,4480.00
99,4560.00
100,4560.00
101,4560.00
102,4560.00
103,4560.00
104,4480.00
105,4560.00
106,4480.00
107,4560.00
108,4560.00
109,4560.00
110,4560.00
111,4480.00
112,4480.00
113,4480.00
114,4560.00
115,4480.00
116,4560.00
117,4480.00
118,4560.00
119,4560.00
120,4480.00
121,4480.00
122,4480.00
123,4480.00
124,4560.00
125,4560.00
126,4560.00
127,4480.00
128,4560.00
129,4560.00
130,4480.00
131,4560.00
132,4480.00
133,4560.00
134,4480.00
135,4560.00
136,4480.00
137,4560.00
138,4560.00
139,4480.00
140,4560.00
141,4480.00
142,4480.00
143,4560.00
144,4560.00
145,4560.00
146,4480.00
147,4560.00
148,4560.00
149,4480.00
150,4480.00
151,4560.00
152,4480.00
153,4560.00
154,4480.00
155,4560.00
156,4560.00
157,4560.00
158,4560.00
159,4560.00
160,4480.00
161,4560.00
162,4480.00
163,4480.00
164,4560.00
165,4560.00
166,4560.00
167,4560.00
168,4560.00
169,4560.00
170,4480.00
171,4560.00
